,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
272,Havre-Saint-Pierre,CA,50.2334,-63.5986,6.8,60,100,28.77,overcast clouds
273,Faanui,PF,-16.4833,-151.75,78.78,73,100,21.94,light rain
274,Kudahuvadhoo,MV,2.6708,72.8944,81.88,73,100,13.31,overcast clouds
275,Darab,IR,28.7519,54.5444,51.64,98,100,9.08,overcast clouds
276,Belyy Yar,RU,53.6039,91.3903,-0.51,85,40,4.47,mist
277,Polyanka,UA,50.2584,27.6881,28.89,83,100,13.85,overcast clouds
278,Amga,RU,60.8953,131.9608,-20.33,93,100,1.92,overcast clouds
279,Kirksville,US,40.1948,-92.5833,17.55,93,100,3.0,overcast clouds
280,Antofagasta,CL,-23.65,-70.4,67.28,79,2,2.55,clear sky
281,Gazanjyk,TM,39.2446,55.5154,39.11,71,96,3.56,overcast clouds
282,Ararangua,BR,-28.9347,-49.4858,78.85,86,100,4.27,overcast clouds
283,Abnub,EG,27.2696,31.1511,45.16,57,0,6.38,clear sky
284,Susanville,US,40.4163,-120.653,33.66,87,90,3.0,overcast clouds
285,Venado Tuerto,AR,-33.7456,-61.9688,85.77,63,17,7.54,few clouds
286,Boca Do Acre,BR,-8.7522,-67.3978,74.07,96,100,1.68,overcast clouds
287,Antalaha,MG,-14.9003,50.2788,74.75,89,44,3.67,scattered clouds
288,Chokurdakh,RU,70.6333,147.9167,-23.39,96,100,1.48,overcast clouds
289,Nome,US,64.5011,-165.4064,12.27,79,100,4.61,light snow
290,Faya,SA,18.3851,42.4509,53.71,60,3,6.6,clear sky
291,Qasigiannguit,GL,68.8193,-51.1922,1.65,82,3,6.24,clear sky
292,The Valley,AI,18.217,-63.0578,78.1,77,6,11.95,clear sky
293,Port Elizabeth,ZA,-33.918,25.5701,68.09,94,75,16.11,broken clouds
294,Lufilufi,WS,-13.8745,-171.5986,83.98,75,100,15.73,light rain
295,Emba,KZ,48.8264,58.1442,26.65,96,100,16.55,light snow
296,Cairns,AU,-16.9167,145.7667,100.94,68,62,9.22,broken clouds
297,Pangody,RU,65.85,74.4859,7.52,94,100,14.32,overcast clouds
298,Winnemucca,US,40.973,-117.7357,33.85,75,0,0.0,clear sky
299,Camacha,PT,33.0833,-16.3333,61.56,72,20,17.27,few clouds
300,Rosario,AR,-32.9468,-60.6393,89.82,55,20,1.99,few clouds
301,Sorong,ID,-0.8833,131.25,82.47,77,100,4.81,overcast clouds
302,Aktau,KZ,43.65,51.2,37.98,61,89,22.82,overcast clouds
303,Linares,CL,-35.85,-71.6,63.61,58,0,2.21,clear sky
304,Tonantins,BR,-2.8731,-67.8022,74.89,96,100,0.87,overcast clouds
305,Rudbar,AF,30.15,62.6,59.0,64,97,20.0,overcast clouds
306,Abbeville,FR,50.1,1.8333,40.96,77,100,7.78,overcast clouds
307,Serenje,ZM,-13.2325,30.2352,60.94,96,99,1.23,light rain
308,Nanakuli,US,21.3906,-158.1547,82.35,63,100,9.22,overcast clouds
309,Sembe,CG,1.6481,14.5806,70.34,93,78,2.82,broken clouds
310,Ola,RU,59.5833,151.2833,2.79,76,1,8.57,clear sky
311,Ara,IN,25.5667,84.6667,49.89,65,0,5.99,clear sky
312,Vestmanna,FO,62.1564,-7.1664,34.72,69,40,23.02,scattered clouds
313,Leeton,AU,-34.5667,146.4,94.89,25,0,4.54,clear sky
314,Lata,PT,40.1629,-8.3327,52.81,72,100,4.21,overcast clouds
315,Aykhal,RU,66.0,111.5,-27.24,100,99,7.67,overcast clouds
316,Kulob,TJ,37.9145,69.783,56.16,54,100,8.95,overcast clouds
317,Bengkulu,ID,-3.8004,102.2655,82.35,71,60,1.99,broken clouds
318,Phan Thiet,VN,10.9333,108.1,79.97,47,49,7.87,scattered clouds
319,Mae Chan,TH,20.1467,99.8526,65.86,91,100,0.4,overcast clouds
